I_1        C1=CC=C1
I_2        C1=CN=C1
I_3        C1=NC=N1
I_4        N#CC1=C(N)C(C#N)=C1N
I_5        N#CC1=C(N)C=C1
I_6        N#CC1=C(N)C=C1N
I_7        N#CC1=C(N)N=C1
I_8        N#CC1=C(N)N=C1N
I_9        N#CC1=CC(C#N)=C1
I_10       N#CC1=CC(C#N)=C1N
I_11       N#CC1=CC=C1
I_12       N#CC1=CC=C1N
I_13       N#CC1=CN=C1
I_14       N#CC1=CN=C1N
I_15       NC1=CC(N)=C1
I_16       NC1=CC(N)=N1
I_17       NC1=CC=C1
I_18       NC1=CC=N1
I_19       NC1=NC(N)=N1
I_20       NC1=NC=C1
I_21       NC1=NC=N1
II_1       N#Cc1c(N)c(C#N)c(N)c(C#N)c1N
II_2       N#Cc1c(N)cc(N)c(C#N)c1N
II_3       N#Cc1c(N)cc(N)cc1N
II_4       N#Cc1c(N)cc(N)nc1N
II_5       N#Cc1c(N)cccc1N
II_6       N#Cc1c(N)ccnc1N
II_7       N#Cc1c(N)nc(N)c(C#N)c1N
II_8       N#Cc1c(N)nc(N)nc1N
II_9       N#Cc1c(N)ncnc1N
II_10      N#Cc1cc(C#N)c(N)c(C#N)c1
II_11      N#Cc1cc(C#N)c(N)c(C#N)c1N
II_12      N#Cc1cc(C#N)c(N)cc1N
II_13      N#Cc1cc(C#N)c(N)nc1N
II_14      N#Cc1cc(C#N)cc(C#N)c1
II_15      N#Cc1ccc(N)c(C#N)c1
II_16      N#Cc1ccc(N)c(C#N)c1N
II_17      N#Cc1ccc(N)cc1
II_18      N#Cc1ccc(N)cc1N
II_19      N#Cc1ccc(N)nc1
II_20      N#Cc1ccc(N)nc1N
II_21      N#Cc1cccc(C#N)c1
II_22      N#Cc1cccc(C#N)c1N
II_23      N#Cc1ccccc1
II_24      N#Cc1ccccc1N
II_25      N#Cc1cccnc1
II_26      N#Cc1cccnc1N
II_27      N#Cc1cnc(N)c(C#N)c1
II_28      N#Cc1cnc(N)c(C#N)c1N
II_29      N#Cc1cnc(N)cc1N
II_30      N#Cc1cnc(N)nc1
II_31      N#Cc1cnc(N)nc1N
II_32      N#Cc1cncc(C#N)c1
II_33      N#Cc1cncc(C#N)c1N
II_34      N#Cc1cnccc1N
II_35      N#Cc1cncnc1
II_36      N#Cc1cncnc1N
II_37      Nc1cc(N)cc(N)c1
II_38      Nc1cc(N)nc(N)c1
II_39      Nc1cc(N)nc(N)n1
II_40      Nc1cc(N)ncn1
II_41      Nc1cccc(N)c1
II_42      Nc1cccc(N)n1
II_43      Nc1ccccc1
II_44      Nc1ccccn1
II_45      Nc1ccnc(N)c1
II_46      Nc1ccnc(N)n1
II_47      Nc1ccncc1
II_48      Nc1ccncn1
II_49      Nc1nc(N)nc(N)n1
II_50      Nc1ncccn1
II_51      Nc1ncnc(N)n1
II_52      Nc1ncncn1
II_53      c1ccccc1
II_54      c1ccncc1
II_55      c1cncnc1
II_56      c1ncncn1
III_1      C1=CC=CC=CC=C1
III_2      C1=CC=CN=CC=C1
III_3      C1=CC=NC=NC=C1
III_4      C1=CN=CC=CN=C1
III_5      C1=CN=CN=CN=C1
III_6      C1=NC=NC=NC=N1
III_7      N#CC1=C(N)C(C#N)=C(N)C(C#N)=C(N)C(C#N)=C1N
III_8      N#CC1=C(N)C(C#N)=C(N)C(C#N)=C(N)C=C1
III_9      N#CC1=C(N)C(C#N)=C(N)C(C#N)=C(N)N=C1
III_10     N#CC1=C(N)C(C#N)=C(N)C=C(N)C=C1
III_11     N#CC1=C(N)C(C#N)=C(N)C=C(N)N=C1
III_12     N#CC1=C(N)C(C#N)=C(N)C=CC=C1
III_13     N#CC1=C(N)C(C#N)=C(N)C=CN=C1
III_14     N#CC1=C(N)C(C#N)=C(N)N=C(N)C=C1
III_15     N#CC1=C(N)C(C#N)=C(N)N=C(N)N=C1
III_16     N#CC1=C(N)C(C#N)=C(N)N=CC=C1
III_17     N#CC1=C(N)C(C#N)=C(N)N=CN=C1
III_18     N#CC1=C(N)C=C(N)C(C#N)=C(N)C(C#N)=C1N
III_19     N#CC1=C(N)C=C(N)C(C#N)=C(N)C=C1
III_20     N#CC1=C(N)C=C(N)C(C#N)=C(N)C=C1N
III_21     N#CC1=C(N)C=C(N)C(C#N)=C(N)N=C1
III_22     N#CC1=C(N)C=C(N)C(C#N)=C(N)N=C1N
III_23     N#CC1=C(N)C=C(N)C=C(N)C(C#N)=C1N
III_24     N#CC1=C(N)C=C(N)C=C(N)C=C1
III_25     N#CC1=C(N)C=C(N)C=C(N)C=C1N
III_26     N#CC1=C(N)C=C(N)C=C(N)N=C1
III_27     N#CC1=C(N)C=C(N)C=C(N)N=C1N
III_28     N#CC1=C(N)C=C(N)C=CC=C1
III_29     N#CC1=C(N)C=C(N)C=CC=C1N
III_30     N#CC1=C(N)C=C(N)C=CN=C1
III_31     N#CC1=C(N)C=C(N)C=CN=C1N
III_32     N#CC1=C(N)C=C(N)N=C(N)C(C#N)=C1N
III_33     N#CC1=C(N)C=C(N)N=C(N)C=C1
III_34     N#CC1=C(N)C=C(N)N=C(N)C=C1N
III_35     N#CC1=C(N)C=C(N)N=C(N)N=C1
III_36     N#CC1=C(N)C=C(N)N=C(N)N=C1N
III_37     N#CC1=C(N)C=C(N)N=CC=C1
III_38     N#CC1=C(N)C=C(N)N=CC=C1N
III_39     N#CC1=C(N)C=C(N)N=CN=C1
III_40     N#CC1=C(N)C=C(N)N=CN=C1N
III_41     N#CC1=C(N)C=CC(C#N)=C(N)C=C1
III_42     N#CC1=C(N)C=CC(C#N)=C(N)N=C1
III_43     N#CC1=C(N)C=CC=C(N)C(C#N)=C1N
III_44     N#CC1=C(N)C=CC=C(N)C=C1
III_45     N#CC1=C(N)C=CC=C(N)C=C1N
III_46     N#CC1=C(N)C=CC=C(N)N=C1
III_47     N#CC1=C(N)C=CC=C(N)N=C1N
III_48     N#CC1=C(N)C=CC=CC=C1
III_49     N#CC1=C(N)C=CC=CC=C1N
III_50     N#CC1=C(N)C=CC=CN=C1
III_51     N#CC1=C(N)C=CC=CN=C1N
III_52     N#CC1=C(N)C=CN=C(N)C(C#N)=C1N
III_53     N#CC1=C(N)C=CN=C(N)C=C1
III_54     N#CC1=C(N)C=CN=C(N)C=C1N
III_55     N#CC1=C(N)C=CN=C(N)N=C1
III_56     N#CC1=C(N)C=CN=C(N)N=C1N
III_57     N#CC1=C(N)C=CN=CC=C1
III_58     N#CC1=C(N)C=CN=CC=C1N
III_59     N#CC1=C(N)C=CN=CN=C1
III_60     N#CC1=C(N)C=CN=CN=C1N
III_61     N#CC1=C(N)N=C(N)C(C#N)=C(N)C(C#N)=C1N
III_62     N#CC1=C(N)N=C(N)C(C#N)=C(N)C=C1
III_63     N#CC1=C(N)N=C(N)C(C#N)=C(N)N=C1
III_64     N#CC1=C(N)N=C(N)C(C#N)=C(N)N=C1N
III_65     N#CC1=C(N)N=C(N)C=C(N)C(C#N)=C1N
III_66     N#CC1=C(N)N=C(N)C=C(N)C=C1
III_67     N#CC1=C(N)N=C(N)C=C(N)C=C1N
III_68     N#CC1=C(N)N=C(N)C=C(N)N=C1
III_69     N#CC1=C(N)N=C(N)C=C(N)N=C1N
III_70     N#CC1=C(N)N=C(N)C=CC=C1
III_71     N#CC1=C(N)N=C(N)C=CC=C1N
III_72     N#CC1=C(N)N=C(N)C=CN=C1
III_73     N#CC1=C(N)N=C(N)C=CN=C1N
III_74     N#CC1=C(N)N=C(N)N=C(N)C(C#N)=C1N
III_75     N#CC1=C(N)N=C(N)N=C(N)C=C1
III_76     N#CC1=C(N)N=C(N)N=C(N)C=C1N
III_77     N#CC1=C(N)N=C(N)N=C(N)N=C1
III_78     N#CC1=C(N)N=C(N)N=C(N)N=C1N
III_79     N#CC1=C(N)N=C(N)N=CC=C1
III_80     N#CC1=C(N)N=C(N)N=CC=C1N
III_81     N#CC1=C(N)N=C(N)N=CN=C1
III_82     N#CC1=C(N)N=C(N)N=CN=C1N
III_83     N#CC1=C(N)N=CC(C#N)=C(N)N=C1
III_84     N#CC1=C(N)N=CC=C(N)C(C#N)=C1N
III_85     N#CC1=C(N)N=CC=C(N)C=C1
III_86     N#CC1=C(N)N=CC=C(N)C=C1N
III_87     N#CC1=C(N)N=CC=C(N)N=C1
III_88     N#CC1=C(N)N=CC=C(N)N=C1N
III_89     N#CC1=C(N)N=CC=CC=C1
III_90     N#CC1=C(N)N=CC=CC=C1N
III_91     N#CC1=C(N)N=CC=CN=C1
III_92     N#CC1=C(N)N=CC=CN=C1N
III_93     N#CC1=C(N)N=CN=C(N)C(C#N)=C1N
III_94     N#CC1=C(N)N=CN=C(N)C=C1
III_95     N#CC1=C(N)N=CN=C(N)C=C1N
III_96     N#CC1=C(N)N=CN=C(N)N=C1
III_97     N#CC1=C(N)N=CN=C(N)N=C1N
III_98     N#CC1=C(N)N=CN=CC=C1
III_99     N#CC1=C(N)N=CN=CC=C1N
III_100    N#CC1=C(N)N=CN=CN=C1
III_101    N#CC1=C(N)N=CN=CN=C1N
III_102    N#CC1=CC(C#N)=C(N)C(C#N)=C(N)C(C#N)=C1
III_103    N#CC1=CC(C#N)=C(N)C(C#N)=C(N)C(C#N)=C1N
III_104    N#CC1=CC(C#N)=C(N)C(C#N)=C(N)C=C1
III_105    N#CC1=CC(C#N)=C(N)C(C#N)=C(N)C=C1N
III_106    N#CC1=CC(C#N)=C(N)C(C#N)=C(N)N=C1
III_107    N#CC1=CC(C#N)=C(N)C(C#N)=C(N)N=C1N
III_108    N#CC1=CC(C#N)=C(N)C(C#N)=CC(C#N)=C1N
III_109    N#CC1=CC(C#N)=C(N)C(C#N)=CC=C1
III_110    N#CC1=CC(C#N)=C(N)C(C#N)=CC=C1N
III_111    N#CC1=CC(C#N)=C(N)C(C#N)=CN=C1
III_112    N#CC1=CC(C#N)=C(N)C(C#N)=CN=C1N
III_113    N#CC1=CC(C#N)=C(N)C=C(N)C(C#N)=C1
III_114    N#CC1=CC(C#N)=C(N)C=C(N)C(C#N)=C1N
III_115    N#CC1=CC(C#N)=C(N)C=C(N)C=C1
III_116    N#CC1=CC(C#N)=C(N)C=C(N)C=C1N
III_117    N#CC1=CC(C#N)=C(N)C=C(N)N=C1
III_118    N#CC1=CC(C#N)=C(N)C=C(N)N=C1N
III_119    N#CC1=CC(C#N)=C(N)C=CC(C#N)=C1N
III_120    N#CC1=CC(C#N)=C(N)C=CC=C1
III_121    N#CC1=CC(C#N)=C(N)C=CC=C1N
III_122    N#CC1=CC(C#N)=C(N)C=CN=C1
III_123    N#CC1=CC(C#N)=C(N)C=CN=C1N
III_124    N#CC1=CC(C#N)=C(N)N=C(N)C(C#N)=C1
III_125    N#CC1=CC(C#N)=C(N)N=C(N)C(C#N)=C1N
III_126    N#CC1=CC(C#N)=C(N)N=C(N)C=C1
III_127    N#CC1=CC(C#N)=C(N)N=C(N)C=C1N
III_128    N#CC1=CC(C#N)=C(N)N=C(N)N=C1
III_129    N#CC1=CC(C#N)=C(N)N=C(N)N=C1N
III_130    N#CC1=CC(C#N)=C(N)N=CC(C#N)=C1N
III_131    N#CC1=CC(C#N)=C(N)N=CC=C1
III_132    N#CC1=CC(C#N)=C(N)N=CC=C1N
III_133    N#CC1=CC(C#N)=C(N)N=CN=C1
III_134    N#CC1=CC(C#N)=C(N)N=CN=C1N
III_135    N#CC1=CC(C#N)=CC(C#N)=C(N)C(C#N)=C1
III_136    N#CC1=CC(C#N)=CC(C#N)=C(N)C=C1
III_137    N#CC1=CC(C#N)=CC(C#N)=C(N)N=C1
III_138    N#CC1=CC(C#N)=CC(C#N)=CC(C#N)=C1
III_139    N#CC1=CC=C(N)C(C#N)=C(N)C(C#N)=C1
III_140    N#CC1=CC=C(N)C(C#N)=C(N)C(C#N)=C1N
III_141    N#CC1=CC=C(N)C(C#N)=C(N)C=C1
III_142    N#CC1=CC=C(N)C(C#N)=C(N)C=C1N
III_143    N#CC1=CC=C(N)C(C#N)=C(N)N=C1
III_144    N#CC1=CC=C(N)C(C#N)=C(N)N=C1N
III_145    N#CC1=CC=C(N)C(C#N)=CC(C#N)=C1
III_146    N#CC1=CC=C(N)C(C#N)=CC=C1
III_147    N#CC1=CC=C(N)C(C#N)=CC=C1N
III_148    N#CC1=CC=C(N)C(C#N)=CN=C1
III_149    N#CC1=CC=C(N)C=C(N)C(C#N)=C1
III_150    N#CC1=CC=C(N)C=C(N)C(C#N)=C1N
III_151    N#CC1=CC=C(N)C=C(N)C=C1
III_152    N#CC1=CC=C(N)C=C(N)C=C1N
III_153    N#CC1=CC=C(N)C=C(N)N=C1
III_154    N#CC1=CC=C(N)C=C(N)N=C1N
III_155    N#CC1=CC=C(N)C=CC(C#N)=C1
III_156    N#CC1=CC=C(N)C=CC(C#N)=C1N
III_157    N#CC1=CC=C(N)C=CC=C1
III_158    N#CC1=CC=C(N)C=CC=C1N
III_159    N#CC1=CC=C(N)C=CN=C1
III_160    N#CC1=CC=C(N)C=CN=C1N
III_161    N#CC1=CC=C(N)N=C(N)C(C#N)=C1
III_162    N#CC1=CC=C(N)N=C(N)C(C#N)=C1N
III_163    N#CC1=CC=C(N)N=C(N)C=C1
III_164    N#CC1=CC=C(N)N=C(N)C=C1N
III_165    N#CC1=CC=C(N)N=C(N)N=C1
III_166    N#CC1=CC=C(N)N=C(N)N=C1N
III_167    N#CC1=CC=C(N)N=CC(C#N)=C1
III_168    N#CC1=CC=C(N)N=CC(C#N)=C1N
III_169    N#CC1=CC=C(N)N=CC=C1
III_170    N#CC1=CC=C(N)N=CC=C1N
III_171    N#CC1=CC=C(N)N=CN=C1
III_172    N#CC1=CC=C(N)N=CN=C1N
III_173    N#CC1=CC=CC(C#N)=C(N)C(C#N)=C1
III_174    N#CC1=CC=CC(C#N)=C(N)C(C#N)=C1N
III_175    N#CC1=CC=CC(C#N)=C(N)C=C1
III_176    N#CC1=CC=CC(C#N)=C(N)C=C1N
III_177    N#CC1=CC=CC(C#N)=C(N)N=C1
III_178    N#CC1=CC=CC(C#N)=C(N)N=C1N
III_179    N#CC1=CC=CC(C#N)=CC(C#N)=C1
III_180    N#CC1=CC=CC(C#N)=CC=C1
III_181    N#CC1=CC=CC(C#N)=CN=C1
III_182    N#CC1=CC=CC=C(N)C(C#N)=C1
III_183    N#CC1=CC=CC=C(N)C(C#N)=C1N
III_184    N#CC1=CC=CC=C(N)C=C1
III_185    N#CC1=CC=CC=C(N)C=C1N
III_186    N#CC1=CC=CC=C(N)N=C1
III_187    N#CC1=CC=CC=C(N)N=C1N
III_188    N#CC1=CC=CC=CC(C#N)=C1
III_189    N#CC1=CC=CC=CC(C#N)=C1N
III_190    N#CC1=CC=CC=CC=C1
III_191    N#CC1=CC=CC=CC=C1N
III_192    N#CC1=CC=CC=CN=C1
III_193    N#CC1=CC=CC=CN=C1N
III_194    N#CC1=CC=CN=C(N)C(C#N)=C1
III_195    N#CC1=CC=CN=C(N)C(C#N)=C1N
III_196    N#CC1=CC=CN=C(N)C=C1
III_197    N#CC1=CC=CN=C(N)C=C1N
III_198    N#CC1=CC=CN=C(N)N=C1
III_199    N#CC1=CC=CN=C(N)N=C1N
III_200    N#CC1=CC=CN=CC(C#N)=C1
III_201    N#CC1=CC=CN=CC(C#N)=C1N
III_202    N#CC1=CC=CN=CC=C1
III_203    N#CC1=CC=CN=CC=C1N
III_204    N#CC1=CC=CN=CN=C1
III_205    N#CC1=CC=CN=CN=C1N
III_206    N#CC1=CN=C(N)C(C#N)=C(N)C(C#N)=C1
III_207    N#CC1=CN=C(N)C(C#N)=C(N)C(C#N)=C1N
III_208    N#CC1=CN=C(N)C(C#N)=C(N)C=C1
III_209    N#CC1=CN=C(N)C(C#N)=C(N)C=C1N
III_210    N#CC1=CN=C(N)C(C#N)=C(N)N=C1
III_211    N#CC1=CN=C(N)C(C#N)=C(N)N=C1N
III_212    N#CC1=CN=C(N)C(C#N)=CC(C#N)=C1
III_213    N#CC1=CN=C(N)C(C#N)=CC=C1
III_214    N#CC1=CN=C(N)C(C#N)=CC=C1N
III_215    N#CC1=CN=C(N)C(C#N)=CN=C1
III_216    N#CC1=CN=C(N)C(C#N)=CN=C1N
III_217    N#CC1=CN=C(N)C=C(N)C(C#N)=C1
III_218    N#CC1=CN=C(N)C=C(N)C(C#N)=C1N
III_219    N#CC1=CN=C(N)C=C(N)C=C1
III_220    N#CC1=CN=C(N)C=C(N)C=C1N
III_221    N#CC1=CN=C(N)C=C(N)N=C1
III_222    N#CC1=CN=C(N)C=C(N)N=C1N
III_223    N#CC1=CN=C(N)C=CC(C#N)=C1
III_224    N#CC1=CN=C(N)C=CC(C#N)=C1N
III_225    N#CC1=CN=C(N)C=CC=C1
III_226    N#CC1=CN=C(N)C=CC=C1N
III_227    N#CC1=CN=C(N)C=CN=C1
III_228    N#CC1=CN=C(N)C=CN=C1N
III_229    N#CC1=CN=C(N)N=C(N)C(C#N)=C1
III_230    N#CC1=CN=C(N)N=C(N)C(C#N)=C1N
III_231    N#CC1=CN=C(N)N=C(N)C=C1
III_232    N#CC1=CN=C(N)N=C(N)C=C1N
III_233    N#CC1=CN=C(N)N=C(N)N=C1
III_234    N#CC1=CN=C(N)N=C(N)N=C1N
III_235    N#CC1=CN=C(N)N=CC(C#N)=C1
III_236    N#CC1=CN=C(N)N=CC(C#N)=C1N
III_237    N#CC1=CN=C(N)N=CC=C1
